set_number,set_name,year_released,image_url,theme_name
42150,Monster Jam Monster Mutt Dalmatian,2023,https://cdn.rebrickable.com/media/sets/42150-1.jpg,Technic
42151,Bugatti Bolide,2023,https://cdn.rebrickable.com/media/sets/42151-1.jpg,Technic
42152,Firefighter Aircraft,2023,https://cdn.rebrickable.com/media/sets/42152-1.jpg,Technic
42153,NASCAR Next Gen Chevrolet Camaro ZL1,2023,https://cdn.rebrickable.com/media/sets/42153-1.jpg,Technic
42154,2022 Ford GT,2023,https://cdn.rebrickable.com/media/sets/42154-1.jpg,Technic
42155,The Batman - Batcycle,2023,https://cdn.rebrickable.com/media/sets/42155-1.jpg,Technic
42156,Peugeot 9X8 Le Mans Hybrid Hypercar,2023,https://cdn.rebrickable.com/media/sets/42156-1.jpg,Technic
42157,John Deere 948L-II Skidder,2023,https://cdn.rebrickable.com/media/sets/42157-1.jpg,Technic
42158,NASA Mars Rover Perseverance,2023,https://cdn.rebrickable.com/media/sets/42158-1.jpg,Technic
42159,Yamaha MT-10 SP,2023,https://cdn.rebrickable.com/media/sets/42159-1.jpg,Technic
42160,Audi RS Q e-tron,2023,https://cdn.rebrickable.com/media/sets/42160-1.jpg,Technic
42161,Lamborghini Huracán Tecnica,2023,https://cdn.rebrickable.com/media/sets/42161-1.jpg,Technic
42162,Bugatti Bolide Agile Blue,2023,https://cdn.rebrickable.com/media/sets/42162-1.jpg,Technic
5004193,Technic Racer Collection,2014,https://cdn.rebrickable.com/media/sets/5004193-1.jpg,Technic
65340,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),2004,https://cdn.rebrickable.com/media/sets/65340-1.jpg,Technic
66300,Technic Kettenbagger-Co-pack,2008,https://cdn.rebrickable.com/media/sets/66300-1.jpg,Technic
66318,Technic Super Pack 4 in 1,2009,https://cdn.rebrickable.com/media/sets/66318-1.jpg,Technic
66359,Technic Super Pack 4 in 1,2010,https://cdn.rebrickable.com/media/sets/66359-1.jpg,Technic
66397,Technic Super Pack 4 in 1,2011,https://cdn.rebrickable.com/media/sets/66397-1.jpg,Technic
66433,Technic Super Pack 3 in 1,2012,https://cdn.rebrickable.com/media/sets/66433-1.jpg,Technic
66712,Monster Jam Collection,2022,https://cdn.rebrickable.com/media/sets/66712-1.jpg,Technic
8041,Race Truck,2010,https://cdn.rebrickable.com/media/sets/8041-1.jpg,Technic
8043,Motorized Excavator,2010,https://cdn.rebrickable.com/media/sets/8043-1.jpg,Technic
8045,Mini Telehandler,2010,https://cdn.rebrickable.com/media/sets/8045-1.jpg,Technic
8046,Helicopter,2010,https://cdn.rebrickable.com/media/sets/8046-1.jpg,Technic
8047,Compact Excavator,2010,https://cdn.rebrickable.com/media/sets/8047-1.jpg,Technic
8048,Buggy,2010,https://cdn.rebrickable.com/media/sets/8048-1.jpg,Technic
8049,Tractor with Log Loader,2010,https://cdn.rebrickable.com/media/sets/8049-1.jpg,Technic
8051,Motorbike,2010,https://cdn.rebrickable.com/media/sets/8051-1.jpg,Technic
8052,Container Truck,2010,https://cdn.rebrickable.com/media/sets/8052-1.jpg,Technic
